string_internet_via_lan;Internet via LAN;Internet über LAN
string_receiver__no_connection;Receiver: No connection;Receiver: Keine Verbindung
string_rtcm3_cs_;RTCM3 CS:;RTCM3 CS:
string_can_t_read_source_table_;Can\'t read source table!;Kann Quellentabelle nicht lesen!
string_receiver_reset_ok;Receiver reset ok;Receiver-Reset ok
string_can_t_setup_wifi_ssid;Can\'t setup WiFi SSID;Kann keine WiFi SSID einrichten
string_style_;Style ;Stil 
string_do_you_want_to_reset_style__s__to_default_values;Do you want to reset style %s? to default values;Möchten Sie Stil %s? auf Standardwerte zurücksetzen
string_pick_2_points_of_circles;;
string_fh_radio_on_;FH radio on ;FH-Funk an 
string_cancelled_by_user;Cancelled by user;Vom Benutzer abgebrochen
string_zone__;Zone: ;Zone: 
string_rssi;RSSI;RSSI
string_hw_;HW:;HW:
string_use_existing_connection_with_base_station_;Use existing connection with base station?;Bestehende Verbindung mit Basisstation nutzen?
string_slat;slat;Lamelle
string_survey_already_started_;Survey already started!;Umfrage bereits gestartet!
string_base_;Base:;Basis:
string_at_least__d;At least %d;Mindestens %d
string__ago; ago; vor
string_model_;Model:;Modell:
string_use_different_name;Use different name;Anderen Namen verwenden
string_can_t_turn_on_gal_tracking_;Can\'t turn on GAL tracking!;Kann die GAL-Verfolgung nicht einschalten!
string_reset_style;Reset Style;Stil zurücksetzen
string_file_has_wrong_chars_;File has wrong chars!;Datei hat falsche Zeichen!
string_javad_mobile_tools_for_authorized_receivers_for_android;Javad Mobile Tools for Authorized Receivers for Android;Javad Mobile Tools für autorisierte Empfänger für Android
string_static__1_s_logging_to_file__2_s_is_in_progress__n_3_s_remain;Static %1$s logging to file %2$s is in progress!\n%3$s remain;Statische %1$s-Protokollierung in Datei %2$s ist in Arbeit!\n%3$s bleiben
string_angle_;Angle:;Winkel:
string_can_t_start_compass_calibration__ndisabled_by_oaf_options_;Can\'t start compass calibration!\nDisabled by OAF options!;Kompasskalibrierung kann nicht gestartet werden!\nDurch OAF-Optionen deaktiviert!
string_input_prefix_for_first_point_;Input prefix for first point:;Eingabepräfix für ersten Punkt:
string_channel_is_not_enough_;Channel is not enough!;Kanal ist nicht ausreichend!
string_starting_rtk_base_station___;Starting RTK base station||#8230||;RTK-Basisstation starten||#8230||
string_can_t_turn_on_qzss_using_;Can\'t turn on QZSS using!;Kann QZSS nicht mit einschalten!
string_options;Options;Optionen
string_levels_offset_clearing_error_;Levels Offset Clearing Error!;Ebenen Offset Clearing Fehler!
string_hrms;HRMS;HRMS
string_check_antenna;Check antenna;Antenne prüfen
string_nethub_jcors_server_error_;NetHub/JCORS Server error!;NetHub/JCORS Server Fehler!
string_rtk_started_ok;RTK Started OK;RTK Gestartet OK
string_empty_address_;Empty address!;Leere Adresse!
string_unused_signals;UnUsed signals;Unverwendete Signale
string_this_sv_has_elevation_lower_than_the_specified_mask_angle;This SV has elevation lower than the specified mask angle;Dieser SV hat eine geringere Elevation als der angegebene Maskenwinkel
string_radio_status;Radio status;Funkstatus
string_the_following_errors_were_detected_during_validation_;The following errors were detected during validation.;Die folgenden Fehler wurden während der Validierung festgestellt.
string_reset;Reset;Zurücksetzen
string_stop;Stop;Stopp
string_the_same_value_;The same value!;Der gleiche Wert!
string_confirm_and_start;Confirm and start;Bestätigen und starten
string_internet_via_wifi;Internet via WiFi;Internet über WiFi
string_stay_for__1_d_groups_of__2_d;Stay for %1$d groups of %2$d;Aufenthalt für %1$d Gruppen von %2$d
string_can_t_compute_coordinates_;Can\'t compute coordinates!;Kann keine Koordinaten berechnen!
string_undefined;Undefined;Undefiniert
string_can_t_change_l1_center_frequency_;Can\'t change L1 center frequency!;Kann L1-Mittenfrequenz nicht ändern!
string_select_op;Select OP;OP auswählen
string__1_dminutes__2_dseconds;%1$dminutes %2$dseconds;%1$dMinuten %2$dSekunden
string_line;Line;Zeile
string_wrong_selected_position_;Wrong selected position!;Falsche Position gewählt!
string_setup_rcv_client_error;Setup Rcv client error;Setup Rcv-Client-Fehler
string_unlock;Unlock;Unlock
string_power_output_to_serial_ports_has_enabled;Power Output to serial ports has enabled;Stromausgang zu den seriellen Schnittstellen wurde freigegeben
string_ca_l1_data_used_for_position_computation;CA/L1 data used for position computation;CA/L1-Daten für Positionsberechnung verwendet
string_directcall__csd__radio_on_;DirectCall (CSD) radio on ;DirectCall (CSD)-Funk eingeschaltet 
string_generic_radio;Generic Radio;Allgemeiner Funk
string_station_is_not_started;Station is not started;Station ist nicht gestartet
string_style__s_is_predefined__and_can_t_be_deleted_;Style %s is predefined. And can\'t be deleted!;Stil %s ist vordefiniert. Und kann nicht gelöscht werden!
string_can_t_turn_off_irnss_tracking_;Can\'t turn off IRNSS tracking!;Kann die IRNSS-Verfolgung nicht abschalten!
string_std;Std;Std
string_import;Import;importieren.
string_can_t_setup_wifi_client_mode;Can\'t setup WiFi Client mode;Kann den WiFi-Client-Modus nicht einrichten
string_start_side__d_calibration;Start Side %d Calibration;Start Seite %d Kalibrierung
string_can_t_parse_source_table_info;Can\'t parse source table info;Kann die Quellentabelle nicht parsen
string_can_t_start_levels_calibration_;Can\'t start levels calibration!;Kann die Kalibrierung der Ebenen nicht starten!
string_internal_error;Internal error;Interner Fehler
string_unock_the_style_with_password;Unock the style with password;Entsperren des Stils mit Passwort
string_azimuth;Azimuth;Azimut
string_can_t_turn_off_gallileo_using_;Can\'t turn off Gallileo using!;Kann die Verwendung von Gallileo nicht abschalten!
string_distance;Distance;Entfernung
string_can_t_setup_wifi_gateway;Can\'t setup WiFi Gateway;Kann WiFi-Gateway nicht einrichten
string_imu_restart_error;IMU restart error;IMU-Neustart-Fehler
string_sim_card_;SIM Card:;SIM-Karte:
string_set_sounds___;Set sounds&#8230||;Töne einstellen&#8230
string_height_nfilter;Height\nFilter;Höhe\nFilter
string_by_angles;By Angles\nN:\nE:\nH:;Nach Winkeln\nN:\nE:\nH:
string_gsm_radio;GSM Radio;GSM-Funk
string_connecting;connecting;verbinden.
string_disconnect;Disconnect;Trennen Sie die Verbindung
string_bootloader__;Bootloaderß:;Bootloaderß:
string_power_;Power:;Strom:
string_new_ntrip_server;new Ntrip Server;neuer Ntrip-Server
string_time_out;Time out;Zeitüberschreitung
string_can_t_turn_off_use_l1c_;Can\'t turn off use L1C!;Kann nicht abschalten, benutze L1C!
string_intersection_task__;Intersection task..;Schnittpunkt Aufgabe..
string_l1c_data_used_for_position_computation;L1C data used for position computation;L1C-Daten für Positionsberechnung verwendet
string_coordinate_nsystem;Coordinate\nSystem;Koordinaten\nSystem
string_hgt_;Hgt=;Hgt=
string_distance2_is_empty_;Distance2 is empty!;Abstand2 ist leer!
string_only;Only;Nur
string_remote_survey_enabled;Remote survey enabled;Fernvermessung aktiviert
string_next_;next ;nächster 
string_point;Point;Punkt
string_trimtalk450shw_pars__;Trimtalk450SHW pars.:;Trimtalk450SHW pars:
string_empty_mount_point_;Empty mount point!;Leerer Montagepunkt!
string_radius_1_;Radius 1:;Radius 1:
string_bps;bps;bps
string_pdop_nfilter;PDOP\nFilter;PDOP\nFilter
string_bluetooth_b;Bluetooth B;Bluetooth B
string_save_int_result;Save int.result;int.Ergebnis speichern
string_sent;Sent;Gesendet
string_10hz;10Hz;10Hz
string_fixed_only;Fixed Only;Behoben Nur
string_wrong_source_table_data_;Wrong source table data!;Falsche Daten der Quelltabelle!
string_attitude;Attitude;Neigung
string_surveying_is_on;Surveying is on;Vermessung ist eingeschaltet
string_stop_station_with_uhf_radio;Stop station with UHF radio;Station mit UHF-Funk stoppen
string_power_output_to_serial_ports_failed_;Power Output to serial ports failed!;Leistungsausgabe an serielle Schnittstellen fehlgeschlagen!
string_reserved;Reserved;Reserviert
string_ca_l1__p_l2__and_l5_slots_are_used_in_rtk_processing;CA/L1, P/L2, and L5 slots are used in RTK processing;CA/L1, P/L2 und L5 Steckplätze werden in der RTK-Verarbeitung verwendet
string_ic_;IC:;IC:
string__1__3f____2__3f;%1$.3f : %2$.3f;%1$.3f : %2$.3f
string_can_t_turn_off_beidou_using_;Can\'t turn off BeiDou using!;Kann BeiDou nicht abschalten!
string_wrong_nethub_port_;Wrong NetHub Port!;Falscher NetHub Port!
string_ntrip;Ntrip;Ntrip
string_no_coordinate_;No coordinate!;Keine Koordinate!
string_can_t_turn_off_use_l5_e5a_;Can\'t turn off use L5/E5a!;Kann die Verwendung von L5/E5a nicht abschalten!
string_create_node_points;Create Node Points;Create Node Points
string_0_05_sec__20hz_;0.05 sec (20Hz);0,05 sec (20Hz)
string_col__dep_;Col.%dep.;Col.%dep.
string_can_t_turn_on_glonass_using_;Can\'t turn on GLONASS using!;Kann die Verwendung von GLONASS nicht einschalten!
string_navigation_accuracy_is_worse_than_those_specified_by__par_pos_sys_ura_mask_parameter;Navigation accuracy is worse than those specified by /par/pos/SYS/ura/mask parameter;Navigationsgenauigkeit ist schlechter als durch den Parameter /par/pos/SYS/ura/mask angegeben
string_cbst_rate_;CBST Rate:;CBST-Rate:
string_activating_3g_gprs___;Activating 3G/GPRS&#8230||;Aktiviere 3G/GPRS&#8230||
string_id_;Id:;Id:
string_incorrect_pos_msint_parameter;Incorrect pos/msint parameter;Falscher pos/msint-Parameter
string_wrong_side__nset_receiver_up_as_in_the_picture;Wrong side!\nSet receiver up as in the picture;Falsche Seite! \nEmpfänger wie in der Abbildung aufstellen
string_output;Output;Ausgabe
string_choose_map_provider;Choose Map Provider;Kartenanbieter wählen
string_levels_calibration____;Levels Calibration&#8230||;Pegel Kalibrierung&#8230||
string_waiting_for_motion___;Waiting for motion&#8230||;Warten auf Bewegung&#8230|
string_do_you_want_to_aim_jmate_to__s;Do you want to aim JMATE to %s;Wollen Sie JMATE auf %s ausrichten
string_pick_points_on_map_to_measure_distance;Pick points on map to measure distance;Punkte auf der Karte auswählen, um Entfernung zu messen
string_hr;HR;HR
string_bsp__rsp__per;BSP, RSP, PER;BSP, RSP, PER
string_none;NONE;KEINE
string_h_;H ;H 
string_trajectory;Trajectory;Trajektorie
string_uhf_radio;UHF Radio;UHF-Funk
string_from_station;From Station;Von Station
string_can_t_convert_selected_point_coordinate_into_wgs84_;Can\'t convert selected point coordinate into WGS84!;Kann ausgewählte Punktkoordinate nicht in WGS84 umrechnen!
string___0f_hz;%.0f Hz;%.0f Hz
string_solution_ntype;Solution\nType;Lösung\nTyp
string_pick_points_on_map_to_add_text;Pick points on map to add text;Punkte auf der Karte auswählen, um Text hinzuzufügen
string_frequency_should_be_a_multiply_of_6250hz_;Frequency should be a multiply of 6250Hz!;Frequenz sollte ein Vielfaches von 6250Hz sein!
string_connected_to_bluetooth_b;connected to Bluetooth B;verbunden mit Bluetooth B
string_please__type_a_receiver_file_name_;Please, type a receiver file name!;Bitte, geben Sie einen Empfängerdateinamen ein!
string_stop_rtk_rover;Stop RTK Rover;RTK-Rover anhalten
string_no_gyroscope_data;No Gyroscope Data;Keine Gyroskop-Daten
string_radio;Radio;Funk
string_connecting_to_nethub___;Connecting to NetHub&#8230||;Verbinden mit NetHub&#8230||
string_ntrip_server_;Ntrip server:;Ntrip-Server:
string_rtk_base_stopped_ok;RTK Base stopped OK;RTK-Basis gestoppt OK
string_receiver_is_turned_to_sleep_mode;Receiver is turned to sleep mode;Empfänger ist in den Schlafmodus geschaltet
string_imu_error;IMU Error;IMU-Fehler
string_side__1_d_calibration__2_d__;Side %1$d calibration %2$d%%;Seite %1$d Kalibrierung %2$d%%
string_wifi;WiFi;WiFi
string___alert___flag__from_the_word___how____is_set;\&quot||Alert\&quot|| flag (from the word \&quot||HOW\&quot||) is set;\&quot||Alert\&quot|-Flag (vom Wort \&quot||HOW\&quot||) ist gesetzt
string_fast_traj_;Fast Traj.;Schnelles Traj.
string_can_t_setup_direct_call__csd__;Can\'t setup Direct Call (CSD)!;Kann keinen Direktruf (CSD) aufbauen!
string_0_01_sec__100hz_;0.01 sec (100Hz);0.01 sec (100Hz)
string_0_1_sec__10hz_;0.1 sec (10Hz);0,1 Sek. (10Hz)
string_verification_nmode;Verification\nMode;VerifizierungsModus
string_mnt;MNT;MNT
string_can_t_turn_on_use_ca_l1_;Can\'t turn on use CA/L1!;Can\'t turn on use CA/L1!
string_can_t_use_char___c__in_style_name_;Can\'t use char \'%c\' in style name!;Kann das Zeichen \'%c\' nicht im Stilnamen verwenden!
string_directcall_csd__;DirectCall(CSD):;DirectCall(CSD):
string_sort_by;Sort by;Sortieren nach
string_correction_type_;Correction Type:;Korrekturtyp:
string_point_nname;Point\nName;Punkt\nName
string_0_02_sec__50hz_;0.02 sec (50Hz);0.02 sec (50Hz)
string_receiver_file_already_exists;Receiver File Already Exists;Empfängerdatei ist bereits vorhanden
string_calibration_progress_is_;Calibration progress is ;Kalibrierungsfortschritt ist 
string_wait_cs_data_from_rtcm3_corrections___;Wait CS data from RTCM3 corrections&#8230||;Warte CS-Daten von RTCM3-Korrekturen&#8230||
string_cannot_turn_on_system_;Cannot turn on system!;System kann nicht eingeschaltet werden!
string_rtk_base_started_ok;RTK Base started OK;RTK-Basis gestartet OK
string_can_t_turn_on_gps_tracking_;Can\'t turn on GPS tracking!;Kann GPS-Tracking nicht einschalten!
string_can_t_turn_off_use_p_l2_;Can\'t turn off use P/L2!;Kann die Verwendung von P/L2 nicht abschalten!
string_can_t_turn_off_use_ca_l1_;Can\'t turn off use CA/L1!;Kann die Verwendung von CA/L1 nicht abschalten!
string_can_t_connect_to_ntrip_caster_;Can\'t connect to Ntrip Caster!;Kann keine Verbindung zum Ntrip Caster herstellen!
string_receiver_file_already_exist_;Receiver File already exist!;Empfängerdatei existiert bereits!
string_can_t_duplicate_style_;Can\'t duplicate style!;Kann Stil nicht duplizieren!
string_can_t_turn_on_use_ca_l2_;Can\'t turn on use CA/L2!;Kann die Verwendung von CA/L2 nicht einschalten!
string_stakeout_line;Stakeout Line;Absteckleitung
string_can_t_rename_style_;Can\'t rename style!;Kann Stil nicht umbenennen!
string_select_side;Select side;Seite auswählen
string_serial_b;Serial B;Serie B
string__5_hz__nmode;5 Hz \nMode;5 Hz \nModus
string_wrong_nethub_address_;Wrong NetHub Address!;Falsche NetHub-Adresse!
string_can_t_setup_rcv_;Can\'t setup RCV!;Kann RCV nicht einrichten!
string_wrong_freq__rule_;Wrong freq. rule!;Falsche Freq.-Regel!
string_traj_min__s;Traj.min %s;Traj.min %s
string_pdop;PDOP;PDOP
string_do_not_set;do not set;nicht einstellen
string_wrong_password_;Wrong password!;Falsches Passwort!
string_can_t_turn_off_use_p_l1_;Can\'t turn off use P/L1!;Kann die Verwendung von P/L1 nicht abschalten!
string_surveing_of__s_is_over_;Surveing of %s is over!;Vermessung von %s ist beendet!
string_surveying;Surveying;Vermessung
string_can_t_apply_settings__n;Can\'t apply settings!\n;Kann Einstellungen nicht übernehmen!\n
string_perpendicular;Perpendicular;Senkrecht
string_traverse_;Traverse:;Traverse:
string_delete_points__s;Delete Points %s;Punkte %s löschen
string_base;Base;Basis
string_compass;Compass;Kompass
string_out_of_surface_;Out of surface!;Außerhalb der Fläche!
string_wlan_ip_address_;WLAN IP Address:;WLAN-IP-Adresse:
string_what_to_do_with_selected_area_;What to do with selected area?;Was tun mit ausgewählter Fläche?
string_with_fh_radio;with FH radio;mit FH-Funk
string_l2c_data_used_for_position_computation;L2C data used for position computation;L2C-Daten für Positionsberechnung verwendet
string_style_name_is_empty_;Style name is empty!;Stilname ist leer!
string_d_;D:;D:
string_fix_or_float;Fix or Float;Fix oder Float
string_can_t_setup_fh_radio_;Can\'t setup FH radio!;Kann FH-Funk nicht einrichten!
string_cs;CS;CS
string_uhf_didn_t_start_correction_;UHF didn\'t start correction!;UHF kann die Korrektur nicht starten!
string_can_t_turn_off_wifi_to_configure;Can\'t turn off WiFi to configure;Kann WiFi zur Konfiguration nicht ausschalten!
string_can_t_setup_uhf_radio___error___s_;Can\'t setup UHF radio! (Error=#%s);Kann UHF-Radio nicht einrichten! (Fehler=#%s)
string_can_t_convert_coordinates_to_cws_;Can\'t convert coordinates to CWS!;Kann Koordinaten nicht in CWS konvertieren!
string_duplicate;Duplicate;Doppeltes
string_compass_nlevels;Compass\nLevels;Kompass\nLevels
string_new_direct_call__csd_;new Direct Call (CSD);neuer Direktruf (CSD)
string_measuring___;Measuring&#8230||;Messen&#8230||
string_no_receiver_connected_;No receiver connected!;Kein Empfänger angeschlossen!
string_receiver_file__s_already_exist_;Receiver File %s already exist!;Empfängerdatei %s existiert bereits!
string_rover_mode_setup_error;Rover mode setup error;Rover-Modus-Setup-Fehler
string_setup_failed_;Setup failed!;Setup fehlgeschlagen!
string__1_ddays__2_dhours__3_dminutes;%1$ddays %2$dhours %3$dminutes;%1$Tage %2$Stunden %3$Minuten
string_can_t_turn_off_use_ca_l2_;Can\'t turn off use CA/L2!;Kann die Verwendung von CA/L2 nicht abschalten!
